Pillar,Divergence measure,beta_level,std_level,p_level,sig_level,beta_div,std_div,p_div,sig_div,adj_r2,f_stat,n
ESG,SD_,-0.0014,0.0057,0.8081,,-0.0004,0.0001,0.0045,***,0.1403,4.5094,44.0
E,SD_,-0.0041,0.005,0.4081,,-0.0005,0.0001,0.001,***,0.1928,6.3755,46.0
S,SD_,-0.0033,0.0053,0.5367,,-0.0002,0.0001,0.052,*,0.0433,2.0171,46.0
G,SD_,-0.0102,0.0071,0.1622,,-0.0002,0.0001,0.1182,,0.0265,1.6121,46.0
ESG,log_SD_,-0.0004,0.0058,0.9508,,-0.1106,0.0378,0.0056,***,0.1323,4.2796,44.0
E,log_SD_,-0.0026,0.0056,0.6435,,-0.1456,0.0729,0.0523,*,0.0485,2.1459,46.0
S,log_SD_,-0.0008,0.0052,0.8807,,-0.0738,0.0432,0.0945,*,0.0209,1.4811,46.0
G,log_SD_,-0.007,0.0067,0.3055,,-0.0369,0.033,0.2695,,-0.0019,0.9575,46.0
ESG,CV_,-0.003,0.0059,0.6133,,-0.0171,0.0063,0.0102,**,0.1088,3.6255,44.0
E,CV_,-0.009,0.0057,0.121,,-0.0219,0.0063,0.0011,***,0.1892,6.2503,46.0
S,CV_,-0.0037,0.0055,0.5024,,-0.0068,0.0045,0.1387,,0.0069,1.157,46.0
G,CV_,-0.01,0.0076,0.1953,,-0.0063,0.0052,0.2322,,0.003,1.0679,46.0
