Valuation,Pillar,Divergence,beta_level,p_level,sig_level,beta_div,p_div,sig_div,beta_interaction,p_interaction,sig_interaction,n
log_deal_value,ESG,CV_ESG,0.011817303685866573,0.5196096965207504,,-0.01611296597311679,0.4860691464667304,,0.0021622897404630775,0.9678848072908729,,44.0
log_deal_value,E,CV_E,0.019476838300264546,0.3032325347238593,,-0.005471849954828082,0.8088162111226186,,0.04238198229983757,0.3768080330233068,,46.0
log_deal_value,S,CV_S,0.006575158705200465,0.6820676493489428,,-0.009326001337138054,0.5807015760428325,,0.018136763815055877,0.47849757918523916,,46.0
log_deal_value,G,CV_G,0.03528734894578847,0.11245754485047248,,-0.006916446805278038,0.6772848884279222,,0.03677232739914303,0.16673152645635597,,46.0
premium_1d,ESG,CV_ESG,-35.75522165361995,0.44187664182019804,,-6.29964073673522,0.8981541429720236,,-27.46719421853617,0.8262377777703587,,41.0
premium_1d,E,CV_E,-25.1888123947734,0.5495480426083661,,4.481769535120719,0.9270603183468791,,-39.643799103510226,0.7409306835194756,,43.0
premium_1d,S,CV_S,-28.815130481498294,0.4795242523780411,,-7.928195277575067,0.8246064632070111,,-7.3206585161784545,0.8971586941013727,,43.0
premium_1d,G,CV_G,-27.923898274816715,0.5655882790473366,,-12.157902139080724,0.738677963173867,,-7.969323018288225,0.9342533922629548,,43.0
premium_1w,ESG,CV_ESG,-34.82682267467678,0.4355445920292007,,-6.1036257779520575,0.8974232875435006,,-26.07780641991358,0.8280351538268398,,42.0
premium_1w,E,CV_E,-28.419865522766717,0.5178140509130194,,1.8262602059345123,0.9701185900500243,,-36.26678785606894,0.7169101061172782,,43.0
premium_1w,S,CV_S,-33.64043922011263,0.43725408817651734,,-8.913833342425885,0.7989697454279231,,-10.62052477700137,0.8494646602600042,,43.0
premium_1w,G,CV_G,-27.72488741484331,0.5605596213711237,,-12.045306751503423,0.7348101792785291,,-9.80114923802474,0.9160957619640486,,43.0
premium_1m,ESG,CV_ESG,-22.532482361930935,0.5037460242139031,,-3.6000124786965015,0.9322388317462535,,-5.206409411177018,0.9578916024828713,,44.0
premium_1m,E,CV_E,-20.62489849401064,0.5530828171673989,,5.459408642350889,0.8959339291061944,,-32.274524794361106,0.7143435568136647,,46.0
premium_1m,S,CV_S,-17.841946802096174,0.542373203046421,,-5.372976457270128,0.8611361770483866,,-1.0145702186036336,0.9825887573752994,,46.0
premium_1m,G,CV_G,-24.790627330854512,0.5501702264868971,,-10.726782317958468,0.7328275412469929,,-3.148666434223394,0.9494938051150077,,46.0
deal_to_ebitda,ESG,CV_ESG,0.1183633410638264,0.3735070151063268,,0.21415675882433782,0.25294987558359855,,-0.15911148595167196,0.686891934538308,,43.0
deal_to_ebitda,E,CV_E,0.17203585563698792,0.2138073801511568,,0.2700658150141429,0.10220465327205341,,-0.06760408535000917,0.8441389545333138,,45.0
deal_to_ebitda,S,CV_S,0.10560660831948433,0.36513221895417736,,0.11954459525131118,0.3716893379404441,,-0.07723392524603255,0.6856620814851959,,45.0
deal_to_ebitda,G,CV_G,0.25192191156127275,0.119988010194232,,0.31618297976593707,0.08643713366379129,*,-0.18328967847263292,0.4215299421616939,,45.0
deal_to_net_assets,ESG,CV_ESG,-0.2138367994521766,0.588317694340093,,-0.016697092120211893,0.9758632950342182,,-0.11339575117138254,0.9219106639000008,,42.0
deal_to_net_assets,E,CV_E,-0.2107752132525615,0.6021263336451952,,0.05569070918643006,0.9083961443613424,,-0.3492340738729489,0.7315331690453876,,44.0
deal_to_net_assets,S,CV_S,-0.1659468371117965,0.6292525993261325,,-0.05621155168252634,0.8850193237883157,,-0.018175808372167063,0.9739776175393633,,44.0
deal_to_net_assets,G,CV_G,-0.22832684240074294,0.6378843166935235,,-0.07667306556497173,0.8879007045258203,,-0.07004806890498319,0.9188214305877356,,44.0
