treated_idx,control_idx,distance,t_deal_value,t_premium_1d,t_premium_1w,t_premium_4w,t_premium_1m,t_acquiror_car_63,t_log_deal_value,t_deal_to_ebit,t_deal_to_ebitda,t_deal_to_net_assets,t_target_market_value,t_acquiror_market_value,t_relative_market_value,t_target_roe,t_target_book_value_per_share,t_target_price_to_book_value,t_target_long_term_debt_to_cap,t_target_full_name,t_target_total_assets,t_target_debt_ratio,t_acquiror_book_value_per_share,t_acquiror_price_to_book_value,t_acquiror_roe,t_acquiror_debt_ratio,t_relative_total_assets,t_cross_nation,t_cross_industry,t_number_of_bidders,t_number_esg_raters,t_attitude,t_IG,t_cash_only,t_stock_only,t_mean_ESG,t_mean_E,t_mean_G,t_mean_S,t_SD_ESG,t_SD_E,t_SD_G,t_SD_S,t_CV_ESG,t_CV_E,t_CV_S,t_CV_G,t_log_SD_ESG,t_log_SD_E,t_log_SD_G,t_log_SD_S,t_deal_year,t_target_industry,t_year_2007,t_year_2008,t_year_2009,t_year_2010,t_year_2011,t_year_2012,t_year_2013,t_year_2014,t_year_2015,t_year_2016,t_year_2017,t_year_2018,t_year_2019,t_year_2020,t_year_2021,t_year_2022,t_year_2023,t_industry_Consumer Products and Services,t_industry_Consumer Staples,t_industry_Energy and Power,t_industry_Financials,t_industry_Healthcare,t_industry_High Technology,t_industry_Industrials,t_industry_Materials,t_industry_Media and Entertainment,t_industry_Real Estate,t_industry_Retail,t_industry_Telecommunications,t_Ticker,t_Coupon,t_Maturity,t_Issue Date,t_ISIN,t_Preferred RIC,t_Principal Currency,t_Country of Issue,t_Issuer Type,t_Instrument Type,t_Coupon Type,t_target_GB_amount,t_Bond Grade,t_Green Bond,t_ESG Bond,t_Issue Price,t_Yield to Maturity,t_Details,t_Lead Underwriter,t_Use of Proceeds,t_Minimum Denomination,t_has_green_bond,t_relative_GB_amount,c_deal_value,c_premium_1d,c_premium_1w,c_premium_4w,c_premium_1m,c_acquiror_car_63,c_log_deal_value,c_deal_to_ebit,c_deal_to_ebitda,c_deal_to_net_assets,c_target_market_value,c_acquiror_market_value,c_relative_market_value,c_target_roe,c_target_book_value_per_share,c_target_price_to_book_value,c_target_long_term_debt_to_cap,c_target_full_name,c_target_total_assets,c_target_debt_ratio,c_acquiror_book_value_per_share,c_acquiror_price_to_book_value,c_acquiror_roe,c_acquiror_debt_ratio,c_relative_total_assets,c_cross_nation,c_cross_industry,c_number_of_bidders,c_number_esg_raters,c_attitude,c_IG,c_cash_only,c_stock_only,c_mean_ESG,c_mean_E,c_mean_G,c_mean_S,c_SD_ESG,c_SD_E,c_SD_G,c_SD_S,c_CV_ESG,c_CV_E,c_CV_S,c_CV_G,c_log_SD_ESG,c_log_SD_E,c_log_SD_G,c_log_SD_S,c_deal_year,c_target_industry,c_year_2007,c_year_2008,c_year_2009,c_year_2010,c_year_2011,c_year_2012,c_year_2013,c_year_2014,c_year_2015,c_year_2016,c_year_2017,c_year_2018,c_year_2019,c_year_2020,c_year_2021,c_year_2022,c_year_2023,c_industry_Consumer Products and Services,c_industry_Consumer Staples,c_industry_Energy and Power,c_industry_Financials,c_industry_Healthcare,c_industry_High Technology,c_industry_Industrials,c_industry_Materials,c_industry_Media and Entertainment,c_industry_Real Estate,c_industry_Retail,c_industry_Telecommunications,c_Ticker,c_Coupon,c_Maturity,c_Issue Date,c_ISIN,c_Preferred RIC,c_Principal Currency,c_Country of Issue,c_Issuer Type,c_Instrument Type,c_Coupon Type,c_target_GB_amount,c_Bond Grade,c_Green Bond,c_ESG Bond,c_Issue Price,c_Yield to Maturity,c_Details,c_Lead Underwriter,c_Use of Proceeds,c_Minimum Denomination,c_has_green_bond,c_relative_GB_amount,delta_esg,delta_div
26,11,0.0,249.373782354578,-6.43,,-0.53,-0.53,,5.518952904843547,0.6342752386774689,0.3640846953742605,2.246,2355.38211913866,,,20.916,7.49943592057762,9.222,0.385,Elisa Oyj,2840.13989169675,0.546026512039076,,0.0,2.72,0.0,,0,1,1,1,0,0,0,0,32.18831326,32.931270515,59.583333335,34.06306654,,305.970938146217,27.6272221974444,170.641879488935,,9.291197495913467,5.009586535274255,0.4636736592448382,,5.723490124063748,3.318801598139119,5.139567088453909,2008,Telecommunications,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,ELISA,4.0,2029-01-27,2023-09-27,XS2695011978,FI269501197=,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,319621568.0,Investment Grade,Yes,Yes,99.585,3.139961,Sr Note Freq Annual,,Energy Efficiency,100000.0,1,112537.2623138828,956.456785451069,21.79,73.62,48.36,48.36,-0.184794139875549,6.863235607986241,4.831342744481269,3.842158735927386,1.716,637.005610788464,409.149,1.556903746039863,17.223,0.932777078085642,0.933,0.605,FKI PLC,2584.42222921914,1.50107767192315,2.13952565247594,0.020220307774682,0.0,0.575168521587258,3.163656803187714,0,1,1,1,1,0,0,0,66.47253388,61.7234375,57.662829325,44.62108014,,256.440473632813,281.45343918816,101.419564720605,,4.154669344733319,2.272906984824169,4.881020277410053,,5.546896566071075,5.639967031370499,4.619266018507979,2008,Industrials,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,0,,1.920504010000002,-253.8262169907156
47,41,0.0,3380.5307433267,23.46,17.98,2.6,2.6,,8.125788000802855,1.130346157041842,0.5156111788248774,5.083,14599.2714478176,,,44.118,2.12019320577483,2.757,0.72,Koninklijke KPN NV,22687.154751421,0.923752991493805,,0.0,0.0,0.0,,0,1,1,2,0,0,1,0,79.16508812,86.4406960866667,76.51234568,72.11733594,0.224331934730269,137.91697717241,55.954160967444,111.875338358447,0.002833723047086391,1.595509793606155,1.551296049697742,0.731308921065665,-1.494628472511124,4.926651889421788,4.024532801383982,4.717385201023491,2012,Telecommunications,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,KPN,4.875,,2024-06-18,XS2824778075,NL282477807=,Euro,Eurobond,Corporate,Note,Fixed Resettable,532702613.0,High Yield,Yes,Yes,99.682,4.593832,Jr Sub Nt Freq Annual,,Clean Transport,100000.0,1,23480.36229473131,708.241386382281,-4.88,-6.02,1.3,1.3,,6.562784976804381,3.187600916359321,2.525314343852051,3.227,2784.21151898292,,,17.564,6.6566619053646,6.379,0.388,Chr Hansen Holding A/S,1820.79827146654,0.2284872111372065,,0.0,-0.02,0.0,,0,1,1,2,0,0,1,0,65.06141422,70.82542405,61.617391305,63.38504823,876.848748932836,460.535510524637,1189.02321354698,1022.87208711885,13.47724698955731,6.502403857116575,16.13743486330151,19.29687687785146,6.776334513339848,6.132389965696547,7.080887420088913,6.930369721104373,2012,Consumer Staples,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,0,,14.894954374999998,-1133.069052579536
117,110,0.0,1808.2264853226,0.67,0.87,11.03,11.03,,7.500101801537329,1.748476046985574,1.295625076138919,2.733,7312.91742994004,,,12.369,6.32674045847699,6.329,0.365,Pirelli & C SpA,9282.08915502329,0.3854124033866316,,0.0,0.0,0.0,,0,1,1,2,0,0,0,0,77.985128205,79.86822864,74.0150803,78.767106425,71.6435192605731,123.818043862632,8.12109723089619,91.5874587345526,0.9186818167720816,1.550279078064101,1.162762768513781,0.1097221971249579,4.271702700226228,4.818813099732017,2.094465272002421,4.517294348928345,2015,Industrials,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,PIRC,4.25,2028-01-18,2023-01-18,XS2577396430,IT257739643=,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,639243136.0,Investment Grade,No,Yes,99.704,3.202428,Sr Note Freq Annual,,General Purpose,100000.0,1,68868.4546467703,512.154916030028,-32.24,-37.72,-46.39,-46.39,,6.238627149645472,-0.7537185102239933,1.332153645977291,,7771.21154192156,,,0.0,10.474200073762,10.521,,Saipem SpA,,,,0.0,0.0,0.0,,0,1,1,2,0,0,0,0,77.938258595,76.231304495,77.37959866,79.73130215,70.5258302821828,35.8078754588145,57.8801634853476,119.546065869189,0.9048935856863919,0.4697266522726649,1.499361764395679,0.7480028907835072,4.255979029696219,3.578167854096615,4.058374726316094,4.78370178553508,2015,Energy and Power,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,0,,-3.3645183600000053,-49.75906625445141
118,123,0.0,5913.07386849309,-1.51,0.87,11.03,11.03,,8.684921088300399,5.717684209935666,4.236818143781705,2.733,7312.91742994004,,,12.369,6.32674045847699,6.329,0.365,Pirelli & C SpA,9282.08915502329,0.3854124033866316,,0.0,0.0,0.0,,0,1,1,2,0,0,0,0,77.985128205,79.86822864,74.0150803,78.767106425,71.6435192605731,123.818043862632,8.12109723089619,91.5874587345526,0.9186818167720816,1.550279078064101,1.162762768513781,0.1097221971249579,4.271702700226228,4.818813099732017,2.094465272002421,4.517294348928345,2015,Industrials,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,PIRC,4.25,2028-01-18,2023-01-18,XS2577396430,IT257739643=,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,639243136.0,Investment Grade,No,Yes,99.704,3.202428,Sr Note Freq Annual,,General Purpose,100000.0,1,68868.4546467703,1033.31,28.11,24.41,17.2,17.2,0.1055093000268881,6.94052252090502,59.72890173410404,12.66311274509804,1.327,880.376,1630.916,0.539804625130908,0.0,25.668,27.646,,OM Group Inc,1312.1,0.04554872009232419,5.234,1.90231176755512,1.4,0.833676324540263,0.05660767190346953,0,1,1,2,1,0,1,0,67.75,70.25,70.75,55.25,1128.125,903.125,861.125,2628.125,16.65129151291513,12.855871886121,47.56787330316742,12.17137809187279,7.028312241521245,6.805860971300797,6.75823967391336,7.874025943161313,2015,Industrials,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,0,,3.265080299999994,-853.0039027691038
138,140,0.0,372.872288529217,2.86,3.17,5.33,5.33,0.1540654242719699,5.921235971012877,0.2992239634598027,0.1600520811002175,0.423,5168.31388801432,2134.316,2.421531716959588,4.85,99.5108881228988,33.2076,0.319,Hyundai Steel Co,27181.1000783012,2.130302356369845,13.482708200349,0.0,0.0,0.0,0.7657457334999332,0,1,1,2,0,0,0,0,46.25,51.25,51.75,37.25,595.125,300.125,276.125,1378.125,12.86756756756757,5.85609756097561,36.99664429530201,5.335748792270532,6.388771467514683,5.704199054541418,5.620853661740282,7.228479158635211,2016,Materials,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,HYSTE,1.596,2026-01-25,2021-01-25,KR6004022B16,KR6004022B1=,South Korean Won,South Korea,Corporate,Bond,Plain Vanilla Fixed Coupon,164393744.0,,Yes,Yes,100.0,3.232127,Bnd Freq Qrtrly,KB SECURITIES CO LTD,Energy Efficiency,10000.0,1,6048.090162886244,888.44,52.93,54.67,58.08,58.08,-0.0318375706654284,6.789467115770308,18.32704168987355,11.5634110787172,2.417,562.035,1819.805,0.3088435299386472,8.468,9.515,9.515,0.167,Newport Corp,562.729,0.1376569074879678,21.821,1.79831873968176,0.0,0.0,0.4419290264162087,0,1,1,2,1,0,1,0,66.25,58.75,82.75,63.25,1275.125,2145.125,153.125,1596.125,19.24716981132076,36.51276595744681,25.23517786561265,1.850453172205438,7.150799492002683,7.670953104722467,5.031254581298992,7.375334095744845,2016,Healthcare,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,0,,-31.0,123.0
170,133,0.0,1204.75309355846,,,-11.48,-11.48,,7.094029923318316,0.7060164474253565,0.3397952076918126,1.086,7702.86365985089,,,0.0,0.462322861213166,0.507,0.631,Datang International Power Generation Co Ltd,34183.8491414861,2.456049414429908,,0.0,0.6,0.0,0.3456168074200119,0,0,1,2,0,0,1,0,33.988787775,41.99521402,40.7363067295,27.636138875,1.9554025279789,511.693743091209,2081.89180690581,11.1756788365725,0.05753081106991319,12.18457281459543,0.4043864045958374,51.10654288642635,0.670596068907919,6.237726288046643,7.641032281881222,2.413739884656682,2016,Energy and Power,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,BJNDT,2.6,2025-06-23,2022-06-21,CND10005BBY4,CN102281369=,Chinese Yuan,China (Mainland),Corporate,Note,Plain Vanilla Fixed Coupon,40200169.0,,Yes,Yes,100.0,2.0081,Sr Note Freq Annual,,Energy Efficiency,100.0,1,1175.99890034655,3434.071,12.1,-1.33,17.27,17.27,-0.04427778786217627,8.141501716840654,51.83033989374547,28.3142953728439,3.917,2921.105,,,3.079,2.074,2.074,0.059,Atmel Corp,1260.418,0.01882849127299429,10.118,4.32942162610517,0.0,0.105487729030957,0.2636464477160624,0,0,2,3,1,0,0,0,51.6888725333333,42.5329457363333,74.3440904133333,46.3546670466667,954.624960901543,1785.70093069563,143.935668517644,1198.77733764197,18.46867447700511,41.98394679186809,25.86098475122523,1.936074107806015,6.861318552251672,7.487566295396666,4.969366453349845,7.089057431061261,2016,High Technology,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,0,,-33.607783683833304,1937.956138388166
171,134,0.0,802.410951775182,,,-49.34,-49.34,,6.687620885327242,0.4702335545569804,0.2263164107819761,0.635,7702.86365985089,,,0.0,0.462322861213166,0.507,0.631,Datang International Power Generation Co Ltd,34183.8491414861,2.456049414429908,,0.0,0.0,0.0,,1,0,1,2,0,0,1,0,33.988787775,41.99521402,40.7363067295,27.636138875,1.9554025279789,511.693743091209,2081.89180690581,11.1756788365725,0.05753081106991319,12.18457281459543,0.4043864045958374,51.10654288642635,0.670596068907919,6.237726288046643,7.641032281881222,2.413739884656682,2016,Energy and Power,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,BJNDT,2.6,2025-06-23,2022-06-21,CND10005BBY4,CN102281369=,Chinese Yuan,China (Mainland),Corporate,Note,Plain Vanilla Fixed Coupon,40200169.0,,Yes,Yes,100.0,2.0081,Sr Note Freq Annual,,Energy Efficiency,100.0,1,1175.99890034655,722.873,63.9,48.57,38.98,38.98,-0.1821639528599785,6.583233549744484,-870.9313253012049,64.89568183858516,2.848,513.926,1290.598,0.3982076525765576,0.0,7.727,7.655,0.023,Sagent Pharmaceuticals Inc,359.013,0.01163202484404369,13.0139564164649,2.21850489862661,0.0,0.0555759956428709,0.2381655888589056,1,0,1,2,1,0,1,0,66.25,68.25,62.25,68.25,1275.125,1081.125,1711.125,1081.125,19.24716981132076,15.84065934065934,15.84065934065934,27.48795180722892,7.150799492002683,6.985757444626676,7.444906327915676,6.985757444626676,2016,Healthcare,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,0,,-21.5136932705,370.76680690581
177,141,0.0,999.019,-2.15,-0.49,1.77,1.77,,6.906773797486713,4.324757575757576,0.3111239489255684,1.393,17695.715,3407.37,5.193364677155695,0.0,11.615,11.615,0.452,Micron Technology Inc,27540.0,0.6421893661827172,0.720939147101102,4.32942162610517,3.1,0.0653813756848224,7.414629431718436,1,0,1,3,0,0,1,0,55.4,50.9333333333333,71.2666666666667,49.7666666666667,710.68,1014.41333333333,281.613333333333,1024.96333333333,12.82815884476534,19.91649214659681,20.59537843268578,3.951543498596813,6.566222258167705,6.922065727655461,5.64053497164783,6.932412118574936,2016,High Technology,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,MU,2.703,2032-04-15,2021-11-01,US595112BS19,595112BS1=,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,1000000000.0,Investment Grade,Yes,Yes,100.0,5.287439,Sr Note,,Green Construction/Buildings,2000.0,1,36310.82062454611,341.800153106178,34.8,36.82,32.21,32.21,,5.834226218622227,6.749338990319902,5.46121395391327,2.952,469.791900067219,,,22.905,0.678030220359822,0.635,0.052,Ainsworth Game Technology LTD,267.076249299781,0.02637195112295296,49.0828726881767,0.0,1.98,0.0,0.08205207564317751,1,0,1,2,0,0,1,0,37.254711925,24.0,46.5291439,38.891251095,90.9978224294744,1152.0,0.559986533814422,2.45864826867739,2.442585587902768,48.0,0.0632185440029077,0.01203517810295285,4.510835576884103,7.049254841255837,-0.5798425423020308,0.8996117146449768,2016,Consumer Products and Services,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,0,,24.737522766666693,281.0533467995186
192,183,0.0,454.463106707871,-4.66,-5.72,-3.87,-3.87,0.02786553012133465,6.119116736962778,0.4511303237199955,0.2583287210215451,0.861,8551.57595714788,160828.393,0.05317205375016014,10.694,15.8166355140187,15.477,0.17,Mazda Motor Corp,22601.8246550957,0.5152765254404711,52.8629915604238,1.07961527158492,0.31,0.491855371342425,0.05163859744216271,0,0,1,4,0,1,1,0,51.9447658275,55.90653084,44.487525735,55.35572164,219.675398369247,671.724079802151,332.065628330482,375.644639007324,4.229018937129349,12.01512720802819,6.786012861512106,7.464241331570247,5.392150994828524,6.509847660673209,5.805332625075446,5.928643587469687,2017,Industrials,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,MAZDA,0.867,2029-03-07,2024-03-07,JP386840AQ39,JP00317261=,Japanese Yen,Japan,Corporate,Bond,Plain Vanilla Fixed Coupon,97586363.0,,Yes,Yes,100.0,1.094,Bnd,SMBC NIKKO SECURITIES INC,Clean Transport,100000000.0,1,4317.632071267248,5784.2266060796,-16.99,-14.94,-10.25,-10.25,-0.1989441361868675,8.662889941162376,4.663231721363355,3.46669773854941,3.428,12471.6114374274,32776.083,0.380509514740593,39.085,3.19845797995374,3.198,0.165,Hindustan Petroleum Corp Ltd,12385.3569776407,0.2736215102303531,2.65777949113338,0.925983742948514,3.1,0.21962379965385,0.2169579141779864,0,0,1,4,0,1,1,0,47.9661174075,45.161745915,49.93852818,50.33798699,323.837753798965,441.417578118743,334.548676941283,376.531399328304,6.751385588451435,9.774147769874654,7.480064695537084,6.699209791194191,5.78024263049049,6.089991316588247,5.81278239047966,5.931001441712875,2017,Energy and Power,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,0,,-5.451002445,-2.4830486108010064
315,284,0.0,561.07276866316,,-33.48,-7.42,-7.42,,6.329850609522818,2.266304311654878,1.630480415434401,1.142,3728.97891311515,,,5.852,1.03984360454292,1.024,0.403,Beijing Originwater Technology Co Ltd,11100.4831502514,0.9981027351852387,,0.0,1.48,0.0,0.7848019214917876,0,1,1,2,0,0,1,0,59.0,47.0,50.5,67.0,338.0,1250.0,924.5,50.0,5.728813559322034,26.59574468085106,0.746268656716418,18.30693069306931,5.823045895483019,7.130898830296347,6.829253050827179,3.912023005428146,2020,Energy and Power,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,BEOTE,4.1,2025-08-21,2023-08-17,CND10006XHZ0,CN102382157=,Chinese Yuan,China (Mainland),Corporate,Note,Plain Vanilla Fixed Coupon,69310636.0,,Yes,Yes,100.0,2.568,Sr Note Freq Annual,,Sustainable Water or Wastewater management,100.0,1,6243.929661604889,572.792425827049,-3.17,-4.12,3.49,3.49,,6.350523392491707,,,,738.891495208096,,,0.0,75.2176977468567,33.2076,1.0,Renk AG,,0.3109296986162925,,0.0,0.0,0.0,,0,1,1,2,0,0,1,0,60.0,72.5,51.0,57.0,2592.0,1104.5,4050.0,3042.0,43.2,15.23448275862069,53.36842105263158,79.41176470588235,7.860185057472165,7.007148022860171,8.306472160100585,8.020270472819238,2020,Industrials,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,0,,-0.5,-3125.5
